facility_id,vaccine_type,ADDRESS,street2,city,state,postal_code,country,NAME,url,Phone,VENUE_TYPE,begin_date,end_date,recurrence_days,hours,eligibility,cost,notes,LAT,LON,location
10,MMR,7410 N. CLARK ST,,Chicago,IL,60626,,Walgreens,https://www.walgreens.com/,773-743-6784,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",M-F 8AM-10PM; SAT-SUN 9AM-5PM,,Call for details.,,42.016504,-87.675881,POINT (-87.675881 42.016504)
12,MMR,1554 E. 55TH ST.,,Chicago,IL,60615,,Walgreens,https://www.walgreens.com/,773-667-1177,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24H,,Call for details.,,41.795671,-87.587946,POINT (-87.587946 41.795671000000006)
44,MMR,3400 N. Western Avenue,,Chicago,IL,60618,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-327-2723,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.943462,-87.68904,POINT (-87.68904 41.943462)
16,MMR,4748 W. NORTH AVE.,,Chicago,IL,60639,,Walgreens,https://www.walgreens.com/,773-745-6642,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8AM-12AM,,Call for details.,,41.910005,-87.744838,POINT (-87.744838 41.910005000000005)
61,MMR,1101 W JACKSON BLVD,,CHICAGO,IL,60607,,MinuteClinic Inside Target,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 9:00am - 7:30pm; Saturday 9:00am-4:00pm; Sunday 9:00am-4:00pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.877372,-87.655631,POINT (-87.65563100000001 41.877372)
19,MMR,2550 N Clybourn Ave,,Chicago,IL,60614,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-348-7421,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.933752,-87.672882,POINT (-87.672882 41.933752)
46,MMR,3630 N Southport,,Chicago,IL,60613,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-327-1485,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.948359,-87.664345,POINT (-87.664345 41.948359)
4,MMR,11255 S. Michigan Ave.,,Chicago,IL,60628,,Roseland Community WIC,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/immunizations_walk-inclinics.html,773-785-1173,City WIC,5/13/2019,5/20/2020,"Monday, Tuesday, Wednesday","Mondays, Tuesdays, Wednesdays: 8:00 AM to 3:00 PM. Closed 2nd Wed every month 12 to 4 PM.",,"No cost to individual. If insured, insurance will be billed.",,41.68914,-87.62086,POINT (-87.62086 41.68914)
13,MMR,501 W. ROOSEVELT RD.,,Chicago,IL,60607,,Walgreens,https://www.walgreens.com/,312-492-8559,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",7AM-11PM,,Call for details.,,41.866556,-87.639669,POINT (-87.639669 41.866556)
9,MMR,7510 N. WESTERN AVE.,,Chicago,IL,60645,,Walgreens,https://www.walgreens.com/,773-764-1795,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",M-F 8AM-12AM; SAT-SUN 9AM-9PM,,Call for details.,,42.017814,-87.690674,POINT (-87.690674 42.017814)
17,MMR,6140 N WESTERN AVE,,Chicago,IL,60659,,Walgreens,https://www.walgreens.com/,773-764-0050,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",M-F 8AM-11PM; SAT-SUN 9AM-9PM,,Call for details.,,41.993349,-87.690105,POINT (-87.690105 41.993349)
60,MMR,1200 N LARRABEE ST,,CHICAGO,IL,60610,,MinuteClinic Inside Target,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 9:00am - 7:00pm; Saturday 9:00am-4:00pm; Sunday 11:00am-4:00pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.903922,-87.643918,POINT (-87.643918 41.903922)
37,MMR,5516 N Clark St,,Chicago,IL,60640,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-784-7348,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.983053,-87.669224,POINT (-87.669224 41.983053)
7,MMR,1633 W. 95TH ST,,Chicago,IL,60643,,Walgreens,https://www.walgreens.com/,773-445-9277,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24H,,Call for details.,,41.720633,-87.663576,POINT (-87.663576 41.72063300000001)
6,MMR,11 E. 75TH ST,,Chicago,IL,60619,,Walgreens,https://www.walgreens.com/,773-224-1211,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24H,,Call for details.,,41.757319,-87.624235,POINT (-87.624235 41.757319)
1,MMR,641 W. 63rd St.,Lower Level,Chicago,IL,60621,,Englewood Neighborhood Health Center,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/immunizations_walk-inclinics.html,312-745-1000,City WIC,5/13/2019,5/20/2020,"Thursday, Friday","Thursdays: 9:00 AM-4:00 PM, Fridays: 8:00 AM to 3:00 PM.",,"No cost to individual. If insured, insurance will be billed.",,41.77969,-87.64143,POINT (-87.64143 41.77969)
30,MMR,4660 W. Irving Park Rd,,Chicago,IL,60641,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-202-0072,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.955756,-87.744972,POINT (-87.744972 41.955756)
47,MMR,6107 S Archer Ave,,Chicago,IL,60638,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-735-0396,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.793968,-87.769618,POINT (-87.76961800000001 41.793968)
33,MMR,1220 S Ashland Ave,,Chicago,IL,60608,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,312-733-2837,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.866189,-87.668586,POINT (-87.668586 41.866189)
42,MMR,3570 North Elston,,Chicago,IL,60618,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-583-9858,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.945341,-87.708701,POINT (-87.708701 41.945341)
5,MMR,845 W. Wilson Ave.,2nd Level,Chicago,IL,60640,,Uptown WIC,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/immunizations_walk-inclinics.html,312-742-3227,City WIC,5/13/2019,5/20/2020,"Monday, Tuesday, Wednesday, Thursday, Friday","Mondays, Wednesdays & Fridays: 8:00 AM-3:00 PM, Tuesdays & Thursdays: 9:00 AM to 4:00 PM. Closed 2nd Wed every month 12 to 4 PM.",,"No cost to individual. If insured, insurance will be billed.",,41.9653,-87.65198,POINT (-87.65198 41.9653)
43,MMR,4734 Pueblo,,Chicago,IL,60656,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-625-5525,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.965847,-87.837984,POINT (-87.837984 41.965847)
